iter	Passed	Remaining
933	10239	986
934	10248	975
935	10259	964
936	10269	953
937	10278	942
938	10289	931
939	10299	920
940	10309	909
941	10322	898
942	10332	887
943	10342	876
944	10352	865
945	10363	854
946	10374	843
947	10387	832
948	10398	821
949	10408	810
950	10419	799
951	10429	788
952	10442	777
953	10453	767
954	10464	756
955	10474	745
956	10485	734
957	10496	723
958	10505	712
959	10516	701
960	10524	689
961	10536	679
962	10548	668
963	10558	657
964	10569	646
965	10580	635
966	10590	624
967	10603	613
968	10614	602
969	10623	591
970	10633	580
971	10645	569
972	10657	558
973	10668	547
974	10678	536
975	10689	525
976	10698	514
977	10708	503
978	10718	492
979	10729	481
980	10737	470
981	10748	459
982	10760	448
983	10769	437
984	10780	426
985	10790	415
986	10800	404
987	10813	394
988	10826	383
989	10835	372
990	10848	361
991	10859	350
992	10870	339
993	10881	328
994	10891	317
995	10901	306
996	10912	295
997	10923	284
998	10933	273
999	10944	262
1000	10957	251
1001	10967	240
1002	10978	229
1003	10988	218
1004	10999	207
1005	11010	196
1006	11021	186
1007	11032	175
1008	11044	164
1009	11056	153
1010	11066	142
1011	11077	131
1012	11090	120
1013	11099	109
1014	11110	98
1015	11121	87
1016	11131	76
1017	11141	65
1018	11153	54
1019	11164	43
1020	11174	32
1021	11185	21
1022	11195	10
1023	11205	0
